0	427
1	432
2	438
3	459
4	473
5	475
6	484
7	465
8	514
9	483
10	467
11	520
12	507
13	512
14	498
15	532
16	549
17	498
18	509
19	402
20	396
21	393
22	375
23	365
24	393
25	267
26	236
27	302
28	271
29	259
30	268
31	260
32	248
33	242
34	275
35	270
36	268
37	265
38	248
39	255
40	271
41	267
42	287
43	286
44	253
45	276
46	272
47	259
48	283
49	274
50	285
51	295
52	273
53	311
54	304
55	72
56	58
57	55
58	66
59	62
60	75
61	96
62	105
63	163
64	204
65	299
66	493
67	1104
68	2941
69	5797
70	7177
71	5015
72	1995
73	505
74	90
75	37
76	36
77	28
78	40
79	32
80	32
81	45
82	35
83	31
84	26
85	23
86	21
87	20
88	16
89	19
90	25
91	24
92	12
93	22
94	20
95	22
96	30
97	23
98	32
99	36
100	21
101	25
102	16
103	23
104	20
105	15
106	23
107	18
108	19
109	17
110	10
111	15
112	25
113	14
114	19
115	0
116	2
117	2
118	1
119	4
120	1
121	16
122	54
123	166
124	232
125	172
126	49
127	5
128	1
129	0
130	0
131	0
132	0
133	0
134	0
